name,start_date,end_date,train_end,ic_mean,ic_ir,long_short_mean,turnover_mean,net_long_short_mean,observations,cost_bps
baseline_value_ep_bp,2021-01-04,2021-12-31,2020-12-31,0.035563430659196725,0.29669942441602515,0.003009584598203281,0.10299358727611245,0.002906591010927168,958573,10.0
baseline_quality_roe,2021-01-04,2021-12-31,2020-12-31,-0.017899947988360223,-0.17355124367615637,-0.003247346907143956,0.07214324510319634,-0.0033194901522471524,958677,10.0
baseline_momentum_20d,2021-01-04,2021-12-31,2020-12-31,-0.030514985526967377,-0.2141713107546942,-0.0010269532512325289,0.6798865936018551,-0.0017068398448343842,960478,10.0
baseline_low_volatility_20d,2021-01-04,2021-12-31,2020-12-31,0.07949189406687558,0.6035345680035598,0.004497021566385302,0.26042270997100825,0.004236598856414293,960478,10.0
baseline_liquidity_turnover,2021-01-04,2021-12-31,2020-12-31,0.0662389644072477,0.5045518608367251,0.003951333609759181,0.8798507991305135,0.0030714828106286687,966784,10.0
