hold_days,forward_horizon_days,rank_ic,icir,t_naive,t_newey_west,n_days
20,20,0.013395544121243408,0.09983719766576259,2.3604689184786305,0.9101031142251035,559
40,20,0.024355698111580316,0.2763161865389927,6.734409933795993,1.9567767162373204,594
60,20,0.027843318154246573,0.36576232468728825,8.914401518185374,2.562750977815889,594
