specification,rank_ic,icir,t_naive,t_newey_west,n_days
A 未复权,0.04482794430943592,0.3680939742955526,8.971228751076454,2.4647834575281857,594
B 复权,0.05006033744714352,0.40533093663935127,9.878772287535465,2.6969088570136015,594
C 复权+市值中性,0.048993931778748834,0.4989161623786612,12.159642191573504,3.3421106806811616,594
D 复权+市值+行业中性,0.027843318154246573,0.36576232468728825,8.914401518185374,2.562750977815889,594
